word,node-label,new-val
(ล้อเลียน - VERB),neg,-0.8926045016077171
(น - VERB),neg,-0.8919614147909968
(ชอบคาร์ท - ADV),neg,-0.8913183279742766
(กลับมา - VERB),neg,-0.8906752411575563
(ค้าทาง - VERB),neg,-0.890032154340836
(จักรยาน - ADJ),neg,-0.8893890675241157
(แจ้ง - VERB),neg,-0.8887459807073955
(เวอร์ชั่น - VERB),neg,-0.8881028938906752
(เจ็ทสกีบานา - ADJ),neg,-0.887459807073955
(กึ่ง - VERB),neg,-0.8868167202572347
(เติม - VERB),neg,-0.8861736334405145
(ดึง - ADV),neg,-0.8855305466237942
(ศอก - VERB),neg,-0.884887459807074
(บอด - VERB),neg,-0.8842443729903537
(รุกราน - VERB),neg,-0.8836012861736334
(เต็นท์ - ADJ),neg,-0.8829581993569132
(ประดิษฐ์ - VERB),neg,-0.8823151125401929
(นับถือ - VERB),neg,-0.8816720257234727
(ทน - ADV),neg,-0.8810289389067524
(ได้ยิน - ADV),neg,-0.8803858520900322
(อึดอัด - VERB),neg,-0.8797427652733119
(ยกเว้น - ADJ),neg,-0.8790996784565916
(ทิศ - VERB),neg,-0.8784565916398713
(ขยับ - VERB),neg,-0.8778135048231511
(แรมอมา - ADJ),neg,-0.8771704180064309
(แผ่ - VERB),neg,-0.8765273311897106
(เศร้า - ADV),neg,-0.8758842443729904
(รายละเอียด - VERB),neg,-0.8752411575562701
(โน้มน้าว - VERB),neg,-0.8745980707395499
(เลอเมอริเดียน - VERB),neg,-0.8739549839228296
(สงบเงียบ - VERB),neg,-0.8733118971061093
(สะเทือน - VERB),neg,-0.872668810289389
(รีวิว - VERB),neg,-0.8720257234726688
(kala - ADJ),neg,-0.8713826366559485
(แสวงหา - ADJ),neg,-0.8707395498392283
(ยาง - ADV),neg,-0.8700964630225081
(สมบูรณ์แบบ - VERB),neg,-0.8694533762057878
(เผ่าพันธุ์ - VERB),neg,-0.8688102893890676
(โทรม - VERB),neg,-0.8681672025723473
(อาหาร - VERB),neg,-0.867524115755627
(เตะ - ADJ),neg,-0.8668810289389067
(ดำเนินการ - ADJ),neg,-0.8662379421221865
(น้ำมืด - VERB),neg,-0.8655948553054662
(บีบบังคับ - VERB),neg,-0.864951768488746
(ลา - ADJ),neg,-0.8643086816720257
(ไถ - VERB),neg,-0.8636655948553055
(buuuuuuttt - VERB),neg,-0.8630225080385852
(ปาตง - VERB),neg,-0.862379421221865
(หอคอย - VERB),neg,-0.8617363344051447
(ระบาด - VERB),neg,-0.8610932475884244
(บริษัท เจ็ทสกี - VERB),neg,-0.8604501607717042
(เกลือ - VERB),neg,-0.8598070739549839
(โจมตี - ADJ),neg,-0.8591639871382637
(สะพานหิน - ADJ),neg,-0.8585209003215434
(ลังเล - ADJ),neg,-0.8578778135048232
(คุณบ้า - VERB),neg,-0.8572347266881029
(วิถี - VERB),neg,-0.8565916398713826
(ตลาด - ADV),neg,-0.8559485530546623
(หลุด - VERB),neg,-0.8553054662379421
(ฟัน - VERB),neg,-0.8546623794212219
(fundont - ADV),neg,-0.8540192926045016
(กูตเตอร์ - VERB),neg,-0.8533762057877814
(ลูกค้า - VERB),neg,-0.8527331189710611
(เส็ง - VERB),neg,-0.8520900321543409
(กลยุทธ์ - ADV),neg,-0.8514469453376206
(ซ้ำ - ADV),neg,-0.8508038585209003
(ดัก - ADJ),neg,-0.85016077170418
(ถือถัง - VERB),neg,-0.8495176848874598
(ขัน - VERB),neg,-0.8488745980707395
(ทั่วไป - ADV),neg,-0.8482315112540193
(ถนนบางลาเศร้า - VERB),neg,-0.847588424437299
(บุก - VERB),neg,-0.8469453376205788
(แกะสลัก - ADJ),neg,-0.8463022508038586
(โสเภณี - VERB),neg,-0.8456591639871383
(ถ้วน - ADJ),neg,-0.845016077170418
(ดัน - VERB),neg,-0.8443729903536977
(ฉุกเฉิน - ADJ),neg,-0.8437299035369775
(รายงาน - VERB),neg,-0.8430868167202572
(พัด - VERB),neg,-0.842443729903537
(ขีด - VERB),neg,-0.8418006430868167
(ริม - VERB),neg,-0.8411575562700965
(สเตียรอยด์ - ADJ),neg,-0.8405144694533762
(เกาะอื่น - ADJ),neg,-0.839871382636656
(เครื่องหมาย - ADJ),neg,-0.8392282958199357
(สองสาม - ADV),neg,-0.8385852090032154
(มือ - VERB),neg,-0.8379421221864952
(คุณก้าว - VERB),neg,-0.8372990353697749
(ลามกอนาจาร - ADJ),neg,-0.8366559485530547
(เสิร์ฟ - VERB),neg,-0.8360128617363344
(คลำหา - VERB),neg,-0.8353697749196142
(ระเบียง - VERB),neg,-0.8347266881028939
(เลี้ยว - VERB),neg,-0.8340836012861736
(โล่ง - ADV),neg,-0.8334405144694533
(ซื่อสัตย์ - VERB),neg,-0.8327974276527331
(หมื่น - ADJ),neg,-0.8321543408360128
(ควาย - VERB),neg,-0.8315112540192926
(อนามัย - ADJ),neg,-0.8308681672025724
(ตุ๊กตุ๊กใน - VERB),neg,-0.8302250803858521
(หนุน - VERB),neg,-0.8295819935691319
(โลชั่น - VERB),neg,-0.8289389067524116
(ผูกขาด - VERB),neg,-0.8282958199356913
(เป้าหมาย - ADJ),neg,-0.827652733118971
(คุณไป - ADJ),neg,-0.8270096463022508
(เตกี - VERB),neg,-0.8263665594855305
(คีรีสอร์ท - VERB),neg,-0.8257234726688103
(เร่ - ADJ),neg,-0.82508038585209
(ยนต์ - ADJ),neg,-0.8244372990353698
(กันแดด - VERB),neg,-0.8237942122186496
(ตุ๊กตุ๊กมาเฟีย - ADJ),neg,-0.8231511254019293
(กก - VERB),neg,-0.822508038585209
(แอสฟัลต์ - ADJ),neg,-0.8218649517684887
(การ์ด - ADJ),neg,-0.8212218649517685
(ลองขาย - VERB),neg,-0.8205787781350482
(เมตร - VERB),neg,-0.819935691318328
